#	Id	ClassId	NameStringId	LevelDesignGroupId		MissionGroupPresetId	MissionGrooupIndex					MissionLV		UIDisplayType	CanReDoThisMission	RegularMissonPresetId	ChildrenMissionPresetId1	ChildrenMissionPresetId2	ChildrenMissionPresetId3	ChildrenMissionPresetId4	LevelDesignID	MainID	SubID	StartMissionScript 	EndMissionScript	BelongToMissionId	MissionItemIdOnAcceptMission1	MissionItemCountOnAcceptMission1	MissionItemIdOnAcceptMission2	MissionItemCountOnAcceptMission2	MissionItemIdOnAcceptMission3	MissionItemCountOnAcceptMission3	MissionItemIdOnAcceptMission4	MissionItemCountOnAcceptMission4	AcceptMissionNPCID		AcceptMissionLevelDesignId		ReturnMissionNPCID	ReturnMissionPosition		ReturnMissionLevelDesignId		CompleteMissionCausalityStringStartId	CompleteMissionCausalityStringEndId	MissionTargetStringId	MissionTargetLevelDesignId	MissionTargetPosition	MissionDescStringID	AcceptConversationID	UnFinishMissionAcceptID	UnFinishMissionReturnID	ReturnConversationID	RewardExp			RewardGP	RewardPrestige	RewardSkillId	RewardLimit	RewardID1	RewardCount1	RewardRate1	RewardID2	RewardCount2	RewardRate2	RewardID3	RewardCount3	RewardRate3	RewardID4	RewardCount4	RewardRate4	RewardID5	RewardCount5	RewardRate5	Visible	GfxId	AutoShare	bMainMission							
#	Id																																																									30%																						21					20	
#	Id	Class 編號	名稱StringID	關卡群組	任務名稱（10字）	屬於哪一個任務群組	在任務群組的第幾個順位	所在關卡(動物城)	任務類型	人數類型	重接	任務樹承接等級顯示	任務難度等級	UI顯示類別	是否可以重覆解	制式任務追蹤編號	附屬子任務1	附屬子任務2	附屬子任務3	附屬子任務4	開啟LevelDesign	主標記	副標記	開始Script	結束Script 	"所屬任務
(步驟)"	承接任務時獲得的物品編號1	承接任務時獲得的物品數量1	承接任務時獲得的物品編號2	承接任務時獲得的物品數量2	承接任務時獲得的物品編號3	承接任務時獲得的物品數量3	承接任務時獲得的物品編號4	承接任務時獲得的物品數量4	接任務NPC	接任務NPC	接任務地點	接任務地點	還任務NPC	"任務追蹤
還任務NPC座標"	還任務NPC	還任務地點	還任務地點	任務目標String起始編號	任務目標String結尾編號	"任務追蹤
任務對象String"	"任務追蹤
對象所在關卡"	"任務追蹤
對象座標"	任務描述	接任務對話	任務提示(接取NPC)	任務提示(回報NPC)	還任務對話	獎勵Exp	修正以前獎勵Exp	任務種類備註	獎勵 GP	獎勵聲望	獎勵 技能	獎勵物品數量上限	"獎勵1物品
裝備飾品"	獎勵1數量	獎勵1機率	"獎勵2物品
藥水"	獎勵2數量	獎勵2機率	"獎勵3物品
武卷卷軸"	獎勵3數量	獎勵3機率	"獎勵4物品
防卷卷軸"	獎勵4數量	獎勵4機率	"獎勵5物品
傳卷復活"	獎勵5數量	獎勵5機率	顯示	圖檔	自動分享	主線與否	任務所需時間(秒)	目標怪物EXP	怪物擊殺目標隻數	殺夠怪物須過關次數	單級關卡GP參考	獎勵GP計算	原始排序
	278	9300	2000278	1008	駝王1獎	0	0	英雄城2	不重複：特殊	1	是	1	40~43	0	1	729						278	0		Mission278End										40154		2001		40154	6087 0 1599		2001		8000828	8000828	3400005			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30057	2	10000	30060	3	10000	30063	1	10000	30066	3	10000	30069	1	10000											144
	279	9300	2000279	1008	駝王2獎	0	0	英雄城2	不重複：特殊	1	是	1	42~45	0	1	730						279	0		Mission279End										40154		2001		40154	6087 0 1599		2001		8000829	8000829	3400005			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30057	3	10000	30060	3	10000	30063	4	10000	30066	4	10000	30069	4	10000											145
	280	9300	2000280	1008	駝王3獎	0	0	英雄城2	不重複：特殊	1	是	1	43~46	0	1	731						280	0		Mission280End										40154		2001		40154	6087 0 1599		2001		8000830	8000830	3400005			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30081	6	10000	30084	6	10000	30087	6	10000	30081	4	10000	30084	4	10000											146
	281	9300	2000281	1008	貓王1獎	0	0	英雄城3	不重複：特殊	1	是	1	45~48	0	1	732						281	0		Mission281End										40155		2002		40155	2462 0 1601		2002		8000831	8000831	3400007			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30073	3	10000	30076	3	10000	30079	3	10000	30064	3	10000	30067	3	10000											147
	282	9300	2000282	1008	貓王2獎	0	0	英雄城3	不重複：特殊	1	是	1	47~50	0	1	733						282	0		Mission282End										40155		2002		40155	2462 0 1601		2002		8000832	8000832	3400007			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30073	6	10000	30076	6	10000	30079	6	10000	30064	6	10000	30067	6	10000											148
	283	9300	2000283	1008	貓王3獎	0	0	英雄城3	不重複：特殊	1	是	1	48~51	0	1	734						283	0		Mission283End										40155		2002		40155	2462 0 1601		2002		8000833	8000833	3400007			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30058	3	10000	30061	3	10000	30082	3	10000	30085	3	10000	30088	3	10000											149
	284	9300	2000284	1008	鷹王1獎	0	0	英雄城3	不重複：特殊	1	是	1	50~53	0	1	735						284	0		Mission284End										40156		2002		40156	-2454 0 1597		2002		8000834	8000834	3400006			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30058	4	10000	30061	4	10000	30064	4	10000	30067	4	10000	30070	4	10000											150
	285	9300	2000285	1008	鷹王2獎	0	0	英雄城3	不重複：特殊	1	是	1	52~55	0	1	736						285	0		Mission285End										40156		2002		40156	-2454 0 1597		2002		8000835	8000835	3400006			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30058	7	10000	30061	7	10000	30064	7	10000	30067	7	10000	30070	7	10000											151
	286	9300	2000286	1008	鷹王3獎	0	0	英雄城3	不重複：特殊	1	是	1	53~56	0	1	737						286	0		Mission286End										40156		2002		40156	-2454 0 1597		2002		8000836	8000836	3400006			8010748	8021800	8021801		8021802	0	0	活動	0	0		1	30058	7	10000	30070	7	10000	30082	7	10000	30085	7	10000	30088	7	10000											152
#野外段任務																																																																																						153
	313	9300	2000313	1005	搶救葫蘆砲兵	16	1	彪城野外1	不重複：支線其他（對話、跑腿）	0	否	35	33	0	0	313	314					313	0	Mission313Start											40049	梁山砲兵	1005	彪城野外1	40052	3865 0 105	葫蘆砲車1號	1005	彪城野外1	8000313	8000313	3200050			8010313	8020831	8020832		8020833	12996	19408	對話	1272	9097																						30	0	0				167
	314	9300	2000314	1005	找到葫蘆砲車	16	2	彪城野外1	不重複：支線其他（對話、跑腿）	0	否	35	33	0	0	314	315	662				314	0	Mission314Start											40052	葫蘆砲車1號	1005	彪城野外1	40052	3865 0 105	葫蘆砲車1號	1005	彪城野外1	8000314	8000314	3200049	1005	3658 0 116	8010314	8020834	8020835		8020836	12996	19408	對話(包任務)	1272	9097		1	30002	3	9000	30008	3	3000	30022	1	1000	30023	1	1000	30029	1	3000					30	0	0				168
	315	9300	2000315	1005	與彪族交涉	16	3	彪城野外1	不重複：支線	1	否	36	36	0	0	315						315	0												40051	彪仔	1005	彪城野外1	40051	3658 0 116	彪仔	1005	彪城野外1	8000315	8000315	3300022	1005	7984 0 530	8010315	8020837	8020838		8020839	20870	69380	打怪	6530	14609		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					125	"4,174"	10				169
	316	9300	2000700	1004	神秘九層塔	0	0	象城野外1	不重複：其他（對話、跑腿）	0	否	20	20	0	0	316						316	0												40038	膽小的士兵	1003	象牙林	40038	4029 -0 1109	膽小的士兵	1003	象牙林	8000714	8000714	8040039	1003	3200 150 2150	8010863	8021988	8021989		8021990	10777		對話	975	7544																						30	0	0				170
	317	9300	2000701	1004	新手的挑戰(Lv1)	0	0	象城野外1	不重複：支線	0	否	1	1	0	0	317						317	0												40002	吳用	3	英雄城1	40002	-191 0 -900	吳用	3	英雄城1	8000715	8000715	8040040	3	151 0 -997	8010864	8021991	8021992		8021993	210		對話	95	147		1	20141	1	10000	20145	1	10000	20146	1	10000	20147	1	10000								30	"9,220"	0				170
	318	9300	2000702	1004	新手的挑戰(Lv2)	0	0	象城野外1	不重複：支線	0	否	1	6	0	0	318						318	0												40002	吳用	3	英雄城1	40002	-191 0 -900	吳用	3	英雄城1	8000715	8000715	8040040	3	151 0 -997	8010865	8021991	8021992		8021993	508		對話	187	356		2	30033	10	10000	30034	1	10000	30035	1	10000	30036	1	10000	30037	1	10000											170
	319	9300	2000703	1004	新手的挑戰(Lv3)	0	0	象城野外1	不重複：支線	0	否	1	11	0	0	319						319	0												40002	吳用	3	英雄城1	40002	-191 0 -900	吳用	3	英雄城1	8000715	8000715	8040040	3	151 0 -997	8010866	8021991	8021992		8021993	889		對話	311	622		2	30041	1	10000	30095	1	10000	30096	1	10000	30097	1	10000	30098	1	10000											170
	320	9300	2000320	1005	繪製地圖	20	1	駱駝野外1	不重複：其他（對話、跑腿）	0	否	34	34	0	0	320						320	0	Mission320Start											40056	製圖兵	1007	駱駝城野外1	40057	2391 0 3335	寫生駱駝	1007	駱駝城野外1	8000320	8000320	3200055			8010320	8020853	8020854		8020855	18193	17891	對話	1331	12735																						30	0	0				171
	321	9300	2000321	1005	惱人的蒼蠅	20	2	駱駝野外1	不重複：支線	1	否	34	36	0	0	321						321	0												40057	寫生駱駝	1007	駱駝城野外1	40057	2391 0 3335	寫生駱駝	1007	駱駝城野外1	8000321	8000321	3300020	1007	851 100 1996	8010321	8020856	8020857		8020858	39920	140440	打怪	10971	27944		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					210	"3,992"	20				172
	322	9300	2000322	1005	被打擾的風景畫	20	3	駱駝野外1	不重複：支線	1	否	34	37	0	0	322						322	0												40057	寫生駱駝	1007	駱駝城野外1	40057	2392 0 3335	寫生駱駝	1007	駱駝城野外1	8000322	8000322	3300064	1007	1876 0 3637	8010322	8020859	8020860		8020861	41740	151160	打怪	15248	29218		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					280	"4,174"	20				173
	323	9300	2000323	1005	被奪走的畫筆	20	4	駱駝野外1	不重複：支線	0	否	34	37	0	0	323						323	0												40057	寫生駱駝	1007	駱駝城野外1	40057	2393 0 3335	寫生駱駝	1007	駱駝城野外1	8000323	8000323	3300029	1007	7343 -0 592	8010323	8020862	8020863		8020864	46913	210750	打怪	49011	32839		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					900	"3,753"	25				174
	324	9300	2000324	1001	口臭的駱駝	0	0	駱駝野外1	重複：其他（對話、跑腿）	0	是	35	35	0	1	324	325					324	0		Mission324End										40057	寫生駱駝	1007	駱駝城野外1	40057	2394 0 3335	寫生駱駝	1007	駱駝城野外1	8000324	8000324	3200056	1007	3193 0 504	8010324	8020865	8020866		8020867	9854	12939	重複	464	2956		1	30102	100	10000																	20	0	1				175
	325	9300	2000325	1001	口香糖的製作	0	0	駱駝野外1	重複：撿物品	0	是	35	37	0	1	325						325	0	Mission325Start	Mission325End										40058	口香糖巨匠	1007	駱駝城野外1	40058	3193 0 504	口香糖巨匠	1007	駱駝城野外1	8000325	8000325	8040003	1007	2551 99 1502	8010325	8020868	8020869		8020870	90072	173450	重複	26548	27022		2	20023	1	10000	30102	100	10000														975	"3,753"	100				176
	326	9300	2000326	1005	被強迫的模特兒	21	1	駱駝野外1	不重複：支線	0	否	36	38	0	0	326						326	0												40057	寫生駱駝	1007	駱駝城野外1	40059	5495 200 3444	被強迫的村民	1007	駱駝城野外1	8000326	8000326	3300030	1007	5500 0 3450	8010326	8020871	8020872	8020873	8020874	51188	355400	打怪	24796	35832		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					437	"4,095"	25				177
	327	9300	2000327	1005	駱駝的畫作	21	2	駱駝野外1	不重複：支線	1	否	37	39	0	0	327						327	0												40057	寫生駱駝	1007	駱駝城野外1	40057	2391 0 3335	寫生駱駝	1007	駱駝城野外1	8000327	8000327	3300034	1007	3588 300 4093	8010327	8020875	8020876		8020877	12190	219689	打王	17718	8533		1	30003	30	10000	30024	1	10000	30025	1	10000	30024	3	10000	30025	3	10000					300	"24,380"	1				178
	328	9300	2000328	1005	蠍出沒注意	22	1	駱駝野外2	不重複：支線	0	否	37	39	0	1	328						328	0	Mission328Start	Mission328End										40060	倒立村民	1008	駱駝城野外2	40060	1548 -6 135	倒立村民	1008	駱駝城野外2	8000328	8000328	3300031	1008	1142 0 1142	8010328	8020878	8020879		8020880	24558	161720	打怪	7087	7367		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					120	"4,093"	20				179
	329	9300	2000329	1005	倒立修行	22	2	駱駝野外2	不重複：支線其他（對話、跑腿）	0	否	37	37	0	0	329						329	0	Mission329Start											40060	倒立村民	1008	駱駝城野外2	40066	3860 0 840	行腳和尚	1008	駱駝城野外2	8000329	8000329	3200059			8010329	8020881	8020882		8020883	16179	21235	對話	1634	11325																						30	0	0				180
	330	9300	2000330	1005	和尚的建議	22	3	駱駝野外2	不重複：支線	1	否	38	40	0	0	330						330	0												40066	行腳和尚	1008	駱駝城野外2	40066	3860 0 840	行腳和尚	1008	駱駝城野外2	8000330	8000330	3300053	1008	4784 0 2774	8010330	8020884	8020885		8020886	48760	175480	打怪	12911	34132		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					210	"4,876"	20				181
	331	9300	2000331	1005	追尋力量	22	5	駱駝野外2	不重複：支線	1	否	38	40	0	0	331						331	0												40060	倒立村民	1008	駱駝城野外2	40060	1549 -6 135	倒立村民	1008	駱駝城野外2	8000331	8000331	3300033	1008	4486 0 9	8010331	8020887	8020888		8020889	48760	189800	打怪	19674	34132		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					320	"4,876"	20				182
	332	9300	2000332	1005	力量的追尋者	22	6	駱駝野外2	不重複：支線	1	否	39	41	0	0	332						332	0												40060	倒立村民	1008	駱駝城野外2	40060	1550 -6 135	倒立村民	1008	駱駝城野外2	8000332	8000332	3300032	1008	6403 -0 -217	8010332	8020890	8020891		8020892	94680	361440	打怪	37922	66276		2	30002	5	5000	30008	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					550	"9,468"	20				183
	333	9300	2000333	1005	近在眼前	22	7	駱駝野外2	不重複：支線其他（對話、跑腿）	0	否	39	39	0	0	333						333	0	Mission333Start											40060	倒立村民	1008	駱駝城野外2	40060	1551 -6 135	倒立村民	1008	駱駝城野外2	8000333	8000333	3200058			8010333	8020893	8020894		8020895	17639	23170	對話	1772	12347																						30	0	0				184
	334	9300	2000334	1005	倒立大師	22	8	駱駝野外2	不重複：支線	1	否	40	42	0	0	334						334	0												40060	倒立村民	1008	駱駝城野外2	40060	1552 -6 135	倒立村民	1008	駱駝城野外2	8000334	8000334	3300035	1008	7066 0 2363	8010334	8020896	8020897		8020898	16398	236758	打王	21472	11479		1	30003	30	10000	30024	1	10000	30025	1	10000	30024	3	10000	30025	3	10000	10000				300	"32,796"	1				185
	335	9300	2000335	1005	打敗操縱巨魔者	30	6	鷹城野外1	不重複：支線	1	否	45	47	0	0	335						335	0												40062	蝴蝶	1011	鷹城野外1	40062	5476 99 1737	蝴蝶	1011	鷹城野外1	8000335	8000335	3300061	1011	4751 100 877	8010335	8020914	8020915		8020916	95430	325500	打怪	49864	66801		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					540	"6,362"	30				186
	336	9300	2000336	1005	偵查情報第四回	30	7	鷹城野外1	不重複：支線其他（對話、跑腿）	0	否	45	47	0	0	336						336	0	Mission336Start											40062	蝴蝶	1011	鷹城野外1	40061	513 -0 167	駱駝偵察兵	1011	鷹城野外1	8000336	8000336	3200060			8010336	8020917	8020918		8020919	25249	33206	對話	2770	17674																						30	0	0				187
	337	9300	2000337	1005	情報蒐集完畢	30	8	鷹城野外1	不重複：支線其他（對話、跑腿）	0	否	45	47	0	0	337						337	0	Mission337Start											40061	駱駝偵察兵	1011	鷹城野外1	40061	513 -0 167	駱駝偵察兵	1011	鷹城野外1	8000337	8000337	3200060			8010337	8020920	8020921		8020922	25249	33206	對話	2770	17674																						30	0	0				188
	338	9300	2000338	1005	禿鷹的由來	31	1	鷹城野外2	不重複：支線其他（對話、跑腿）	0	否	47	49	0	0	338						338	0	Mission338Start											40063	空軍隊長	1012	鷹城野外2	40063	1248 0 116	空軍隊長	1012	鷹城野外2	8000338	8000338	3200062			8010338	8020923			8020925	27097	35645	對話	2962	18968																						30	0	0				189
	339	9300	2000339	1005	擊敗黑鷹部隊	31	2	鷹城野外2	不重複：支線	1	否	47	49	0	0	339						339	0												40063	空軍隊長	1012	鷹城野外2	40063	1248 0 116	空軍隊長	1012	鷹城野外2	8000339	8000339	3300062	1012	2203 -6 492	8010339	8020926	8020927		8020928	98880	344460	打怪	49375	69216		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					500	"6,592"	30				190
	340	9300	2000340	1005	消除禿頭絕症	31	3	鷹城野外2	不重複：支線其他（對話、跑腿）	0	否	47	49	0	0	340						340	0	Mission340Start											40063	空軍隊長	1012	鷹城野外2	40064	4220 150 3172	黑鷹部隊隊長	1012	鷹城野外2	8000340	8000340	3200063			8010340	8020929	8020930		8020931	27097	35645	對話	2962	18968																						30	0	0				191
	341	9300	2000341	1005	接受治療禿頭	31	4	鷹城野外2	不重複：支線其他（對話、跑腿）	0	否	47	49	0	0	341						341	0	Mission341Start											40064	黑鷹部隊隊長	1012	鷹城野外2	40063	1248 0 116	空軍隊長	1012	鷹城野外2	8000341	8000341	3200062			8010341	8020932	8020933		8020934	27097	35645	對話	2962	18968																						30	0	0				192
	342	9300	2000342	1005	找到生髮專家	31	5	鷹城野外2	不重複：支線其他（對話、跑腿）	0	否	47	49	0	0	342						342	0	Mission342Start											40063	空軍隊長	1012	鷹城野外2	40065	8163 0 1378	史雲健	1012	鷹城野外2	8000342	8000342	3200064			8010342	8020935	8020936		8020937	27097	35645	對話	2962	18968																						30	0	0				193
	343	9300	2000343	1005	禿頭祖傳配方	31	6	鷹城野外2	不重複：支線	1	否	48	50	0	0	343						343	0		Mission343End										40065	史雲健	1012	鷹城野外2	40065	8163 0 1378	史雲健	1012	鷹城野外2	8000343	8000343	3300039	1012	6919 0 497	8010343	8020938	8020939		8020940	68260	232920	打怪	61262	47782		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					600	"6,826"	20				194
	344	9300	2000344	1005	禿頭獨家配方	31	7	鷹城野外2	不重複：支線	1	否	49	51	0	0	344						344	0		Mission344End										40065	史雲健	1012	鷹城野外2	40065	8163 0 1378	史雲健	1012	鷹城野外2	8000344	8000344	3300040	1012	8398 150 3492	8010344	8020941	8020942		8020943	112170	382120	打怪	81923	78519		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					720	"11,217"	20				195
	345	9300	2000345	1005	生髮水	31	8	鷹城野外2	不重複：支線其他（對話、跑腿）	0	否	49	51	0	0	345						345	0	Mission345Start											40065	史雲健	1012	鷹城野外2	40063	1248 0 116	空軍隊長	1012	鷹城野外2	8000345	8000345	3200062			8010345	8020944	8020945		8020946	29523	38853	對話	3413	20666																						30	0	0				196
	346	9300	2000346	1005	遞交神奇生髮水	31	9	鷹城野外2	不重複：支線其他（對話、跑腿）	0	否	49	51	0	0	346						346	0	Mission346Start											40063	空軍隊長	1012	鷹城野外2	40064	4220 150 3172	黑鷹部隊隊長	1012	鷹城野外2	8000346	8000346	3200063			8010346	8020947	8020948		8020949	29523	38853	對話	3413	20666																						30	0	0				197
	347	9300	2000347	1005	重振雄風	31	10	鷹城野外2	不重複：支線其他（對話、跑腿）	0	否	49	51	0	0	347						347	0	Mission347Start											40064	黑鷹部隊隊長	1012	鷹城野外2	40064	4220 150 3172	黑鷹部隊隊長	1012	鷹城野外2	8000347	8000347	3200063			8010347	8020950			8020952	29523	38853	對話	3413	20666																						30	0	0				198
	348	9300	2000348	1005	請喜歡歡笑	25	1	貓城野外1	不重複：支線	1	否	45	45	0	0	348						348	0												40069	快樂貓	1009	貓城野外1	40069	297 0 229	快樂貓	1009	貓城野外1	8000348	8000348	3300046	1009	780 0 479	8010348	8020953	8020954		8020955	89880	302580	打怪	35921	62916		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					450	"5,992"	30				199
	349	9300	2000349	1005	如何帶來歡笑？	25	2	貓城野外1	不重複：支線其他（對話、跑腿）	0	否	45	45	0	0	349						349	0	Mission349Start											40069	快樂貓	1009	貓城野外1	40070	3237 0 1620	愛死寂寞人	1009	貓城野外1	8000349	8000349	3200068			8010349	8020956	8020957		8020958	23470	30872	對話	2395	16429																						30	0	0				200
	350	9300	2000350	1005	帶來歡笑的方法	25	3	貓城野外1	不重複：支線其他（對話、跑腿）	0	否	45	45	0	0	350						350	0	Mission350Start											40070	愛死寂寞人	1009	貓城野外1	40069	297 0 229	快樂貓	1009	貓城野外1	8000350	8000350	3200067			8010350	8020959	8020960		8020961	23470	30872	對話	2395	16429																						30	0	0				201
	351	9300	2000351	1005	帶來歡笑	25	4	貓城野外1	不重複：支線	1	否	45	45	0	0	351						351	0												40069	快樂貓	1009	貓城野外1	40069	297 0 229	快樂貓	1009	貓城野外1	8000351	8000351	3300056	1009	3649 -99 1020	8010351	8020962	8020963		8020964	89880	309060	打怪	35921	62916		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					450	"5,992"	30				202
	352	9300	2000352	1005	怎麼趕走壞東西？	25	5	貓城野外1	不重複：支線其他（對話、跑腿）	0	否	46	46	0	0	352						352	0	Mission352Start											40069	快樂貓	1009	貓城野外1	40070	3237 0 1620	愛死寂寞人	1009	貓城野外1	8000352	8000352	3200068			8010352	8020965	8020966	8020966	8020967	24359	32021	對話	2677	17051																						30	0	0				203
	353	9300	2000353	1005	貓族的隱疾	25	6	貓城野外1	不重複：支線其他（對話、跑腿）	0	否	46	46	0	0	353						353	0	Mission353Start											40070	愛死寂寞人	1009	貓城野外1	40069	297 0 229	快樂貓	1009	貓城野外1	8000353	8000353	3200067			8010353	8020968	8020969		8020970	24359	32021	對話	2677	17051																						30	0	0				204
	354	9300	2000354	1005	改善身體健康	25	7	貓城野外1	不重複：支線	1	否	46	46	0	0	354						354	0												40069	快樂貓	1009	貓城野外1	40069	297 0 229	快樂貓	1009	貓城野外1	8000354	8000354	3300036	1009	2856 200 3401	8010354	8020971	8020972		8020973	92040	320580	打怪	44620	64428		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					500	"6,136"	30				205
	355	9300	2000355	1005	改善憂鬱現況	25	8	貓城野外1	不重複：支線	1	否	46	46	0	0	355						355	0												40069	快樂貓	1009	貓城野外1	40069	297 0 229	快樂貓	1009	貓城野外1	8000355	8000355	3300045	1009	5300 -150 860	8010355	8020974	8020975		8020976	92040	313860	打怪	49082	64428		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					550	"6,136"	30				206
	356	9300	2000356	1005	快樂每一天	25	9	貓城野外1	不重複：支線其他（對話、跑腿）	0	否	46	46	0	0	356						356	0	Mission356Start											40069	快樂貓	1009	貓城野外1	40070	3237 0 1620	愛死寂寞人	1009	貓城野外1	8000356	8000356	3200068			8010356	8020977	8020978		8020979	24359	32021	對話	2677	17051																						30	0	0				207
	357	9300	2000357	1005	傳說的貓族聖獸	25	10	貓城野外1	不重複：支線	1	否	47	47	0	0	357						357	0												40070	愛死寂寞人	1009	貓城野外1	40070	3237 0 1620	愛死寂寞人	1009	貓城野外1	8000357	8000357	3300049	1009	4216 200 2205	8010357	8020980	8020981		8020982	22266	296305	打王	27702	15586		1	30003	30	10000	30024	1	10000	30025	1	10000	30024	3	10000	30025	3	10000					300	"44,532"	1				208
	358	9300	2000358	1005	失蹤多年的弟弟	26	1	貓城野外2	不重複：支線	1	否	47	47	0	0	358						358	0												40071	牙醫武松	1010	貓城野外2	40072	7178 0 773	雪女	1010	貓城野外2	8000358	8000358	3300057	1010	1019 0 -452	8010358	8020983	8020984	8020984	8020985	95430	332460	打怪	44323	66801		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					480	"6,362"	30				209
	359	9300	2000359	1005	空虛、寂寞、還有點冷	26	2	貓城野外2	不重複：支線	1	否	47	47	0	0	359						359	0												40072	雪女	1010	貓城野外2	40072	7178 0 773	雪女	1010	貓城野外2	8000359	8000359	3300059	1010	2987 -99 2409	8010359	8020986	8020987		8020988	95430	325500	打怪	49864	66801		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					540	"6,362"	30				210
	360	9300	2000360	1005	人類的蹤跡	26	3	貓城野外2	不重複：支線其他（對話、跑腿）	0	否	47	47	0	0	360						360	0	Mission360Start											40072	雪女	1010	貓城野外2	40072	7178 0 773	雪女	1010	貓城野外2	8000360	8000360	3200070			8010360	8020989			8020991	25249	33206	對話	2770	17674																						30	0	0				211
	361	9300	2000361	1005	人類的下落	26	4	貓城野外2	不重複：支線其他（對話、跑腿）	0	否	47	47	0	0	361						361	0	Mission361Start											40072	雪女	1010	貓城野外2	40071	701 -0 93	牙醫武松	1010	貓城野外2	8000361	8000361	3200069			8010361	8020992	8020993		8020994	25249	33206	對話	2770	17674																						30	0	0				212
	362	9300	2000362	1005	為弟弟報仇第一次	26	5	貓城野外2	不重複：支線	1	否	47	47	0	0	362						362	0												40071	牙醫武松	1010	貓城野外2	40071	701 -0 93	牙醫武松	1010	貓城野外2	8000362	8000362	3300058	1010	4254 -100 1900	8010362	8020995	8020996		8020997	98880	337260	打怪	55404	69216		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					600	"6,592"	30				213
	363	9300	2000363	1005	為弟弟報仇第二次	26	6	貓城野外2	不重複：支線	1	否	48	48	0	0	363						363	0												40071	牙醫武松	1010	貓城野外2	40071	701 -0 93	牙醫武松	1010	貓城野外2	8000363	8000363	3300044	1010	6600 0 200	8010363	8020998	8020999		8021000	153585	524040	打怪	71642	107510		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					750	"10,239"	30				214
	364	9300	2000364	1005	為弟弟報仇第三次	26	7	貓城野外2	不重複：支線其他（對話、跑腿）	0	否	48	48	0	0	364						364	0	Mission364Start											40071	牙醫武松	1010	貓城野外2	40072	7178 0 773	雪女	1010	貓城野外2	8000364	8000364	3200070			8010364	8021001	8021002		8021003	26169	34411	對話	2866	18318																						30	0	0				215
	365	9300	2000365	1005	說服武松	26	8	貓城野外2	不重複：支線其他（對話、跑腿）	0	否	48	48	0	0	365						365	0	Mission365Start											40072	雪女	1010	貓城野外2	40071	701 -0 93	牙醫武松	1010	貓城野外2	8000365	8000365	3200069			8010365	8021004	8021005		8021006	26169	34411	對話	2866	18318																						30	0	0				216
	366	9300	2000366	1005	弟弟的下落	26	9	貓城野外2	不重複：支線其他（對話、跑腿）	0	否	48	48	0	0	366						366	0	Mission366Start											40071	牙醫武松	1010	貓城野外2	40071	701 -0 93	牙醫武松	1010	貓城野外2	8000366	8000366	3200069			8010366	8021007			8021009	26169	34411	對話	2866	18318																						30	0	0				217
	387	9300	2000387	1005	瑞比戰士進階測驗	6	1	兔城野外3	不重複：支線	1	否	12	15	0	0	387						387	0												40075	越野兔	1013	落葉林地	40075	3154 -0 697	越野兔	1013	落葉林地	8000387	8000387	3300068	1013	3323 100 1664	8010387	8021043	8021044		8021045	7740	29128	打怪	6036	5418		2	30001	5	5000	30007	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					300	387	20				218
