#	Id	ClassId		Name		DescStringId	IsLanguageDependent	FilePath	
	項目編號	種類編號	類型	名稱		說明文字編號	語言版編號	檔案位置	檔名編號
	12006010	9000	技能1	大象(象魔王小飛)	大象			Mobb0090_06010.wav	
	12006020	9000	技能2	大象(象魔王小飛)	大象			Mobb0090_06020.wav	
	12106010	9000	技能1	大象(捲鼻象)	大象			Mobb0064_06010.wav	
	12106020	9000	技能2	大象(捲鼻象)	大象			Mobb0064_06020.wav	
	12206010	9000	技能1	馬上蠅	蒼蠅			Moba0058_06010.wav	
	12206020	9000	技能2	馬上蠅	蒼蠅			Moba0058_06020.wav	
	12300011	9000	技能1	虎小墨、虎小黃	老虎			Moba9105_00011.wav	
	12306010	9000	技能1	虎小墨、虎小黃	老虎			Moba9105_06010.wav	
	12306020	9000	技能2	虎小墨、虎小黃	老虎			Moba9105_06020.wav	
	12406010	9000	技能1	彪族守門員	彪			Mobb0023_06010.wav	
	12406020	9000	技能2	彪族守門員	彪			Mobb0023_06020.wav	
	12506010	9000	技能1	飛輪虎	老虎			Moba0039_06010.wav	
	12516010	9000	技能1	飛輪虎(雷)	老虎			Moba0039_16010.wav	
	12526010	9000	技能1	飛輪虎(冰)	老虎			Moba0039_26010.wav	
	12536010	9000	技能1	飛輪虎(火)	老虎			Moba0039_36010.wav	
	12506020	9000	技能2	飛輪虎	老虎			Moba0039_06020.wav	
	12606010	9000	技能1	角瞳獅	獅子			Mobb0022_06010.wav	
	12606020	9000	技能2	角瞳獅	獅子			Mobb0022_06020.wav	
	12706010	9000	技能1	戰車彪	彪			Moba0110_06010.wav	
	12706020	9000	技能2	戰車彪	彪			Moba0110_06020.wav	
	12806010	9000	技能1	噴火彪王	彪			Moba0111_06010.wav	
	12806020	9000	技能2	噴火彪王	彪			Moba0111_06020.wav	
	12900012	9000	技能1	童王彪	彪			Moba0109_00012.wav	
	12906010	9000	技能1	童王彪	彪			Moba0109_06010.wav	
	12906020	9000	技能2	童王彪	彪			Moba0109_06020.wav	
	13006010	9000	技能1	奔雷虎	老虎			Mobb0112_06010.wav	
	13006020	9000	技能2	奔雷虎	老虎			Mobb0112_06020.wav	
	13006030	9000	技能3	奔雷虎	老虎			Mobb0112_06030.wav	
	13106010	9000	技能1	金獅庄	獅子			Moba0113_06010.wav	
	13106020	9000	技能2	金獅庄	獅子			Moba0113_06020.wav	
	13106030	9000	技能2	金獅庄	獅子			Moba0113_06030.wav	
	13106040	9000	技能2	金獅庄	獅子			Moba0113_06040.wav	
	13206010	9000	技能1	大象(衝風飛車)	大象			Moba0065_06010.wav	
	13206020	9000	技能2	大象(衝風飛車)	大象			Moba0065_06020.wav	
	13306010	9000	技能1	夜叉王	特殊			Moba0059_06010.wav	
	13306020	9000	技能2	夜叉王	特殊			Moba0059_06020.wav	
	13406010	9000	技能1	熊(鐵拳熊)	熊			Moba9002_06010.wav	
	13406020	9000	技能2	熊(鐵拳熊)	熊			Moba9002_06020.wav	
	13500012	9000	技能2	駱駝(黑面峰)、搖滾駱駝	駱駝			Moba0016_00012.wav	
	13506010	9000	技能1	駱駝(黑面峰)、搖滾駱駝	駱駝			Moba0016_06010.wav	
	13516010	9000	技能1	駱駝(黑面峰)、搖滾駱駝	駱駝			Moba0016_16010.wav	
	13506020	9000	技能2	駱駝(黑面峰)、搖滾駱駝	駱駝			Moba0016_06020.wav	
	13516020	9000	技能2	駱駝(黑面峰)、搖滾駱駝	駱駝			Moba0016_16020.wav	
	13606010	9000	技能1	駱駝(駱駝兵)	駱駝			Moba0016b_06010.wav	
	13606020	9000	技能2	駱駝(駱駝兵)	駱駝			Moba0016b_06020.wav	
	13706010	9000	技能1	企鵝	企鵝			Moba0100_06010.wav	
	13706020	9000	技能2	企鵝	企鵝			Moba0100_06020.wav	
	13806010	9000	技能1	駱駝(山峰駝)	駱駝			Mobb0016_06010.wav	
	13806020	9000	技能2	駱駝(山峰駝)	駱駝			Mobb0016_06020.wav	
	13906010	9000	技能1	雙嘻蠍	蠍子			Mobb0036_06010.wav	
	13906011	9000	技能2	雙嘻蠍	蠍子			Mobb0036_06011.wav	
	13906020	9000	技能3	雙嘻蠍	蠍子			Mobb0036_06020.wav	
	14006010	9000	技能1	螃蟹(沙漠機蟹)	螃蟹			Moba0057_06010.wav	
	14006020	9000	技能2	螃蟹(沙漠機蟹)	螃蟹			Moba0057_06020.wav	
	14106010	9000	技能1	駝王陣	駱駝			Mobb0017_06010.wav	
	14106020	9000	技能2	駝王陣	駱駝			Mobb0017_06020.wav	
	14106030	9000	技能3	駝王陣	駱駝			Mobb0017_06030.wav	
	14206010	9000	技能1	鬼頭	特殊			Moba0043_06010.wav	
	14206020	9000	技能2	鬼頭	特殊			Moba0043_06020.wav	
	14208040	9000	技能2	鬼頭	特殊			Moba0043_08040.wav	
	14306010	9000	技能1	蝙蝠(飛蝠道)	蝙蝠			Moba0091_06010.wav	
	14306020	9000	技能2	蝙蝠(飛蝠道)	蝙蝠			Moba0091_06020.wav	
	14406010	9000	技能1	火箭鳥	鳥			Moba0030_06010.wav	
	14406020	9000	技能2	火箭鳥	鳥			Moba0030_06020.wav	
	14506010	9000	技能1	滑翔鷹	鳥			Moba0034_06010.wav	
	14506020	9000	技能2	滑翔鷹	鳥			Moba0034_06020.wav	
	14516020	9000	技能2	滑翔鷹	鳥			Moba0034_16020.wav	
	14606010	9000	技能1	閃輪酷客	鳥			Moba0029_06010.wav	
	14606020	9000	技能2	閃輪酷客	鳥			Moba0029_06020.wav	
	14706010	9000	技能1	花雀娘	鳥			Mobb0012_06010.wav	
	14706020	9000	技能2	花雀娘	鳥			Mobb0012_06020.wav	
	14806010	9000	技能1	鸚鵡	鳥			Mobb0018_06010.wav	
	14806020	9000	技能2	鸚鵡	鳥			Mobb0018_06020.wav	
	14906010	9000	技能1	熊霸	熊			Mobb9001_06010.wav	
	14906020	9000	技能2	熊霸	熊			Mobb9001_06020.wav	
	15006010	9000	技能1	豹貓小子	豹			Mobb0014_06010.wav	
	15006020	9000	技能2	豹貓小子	豹			Mobb0014_06020.wav	
	15008030	9000	技能3	豹貓小子	豹			Mobb0014_08030.wav	
	15106010	9000	技能1	斑馬兄弟(黑白金剛)	斑馬			Moba0046_06010.wav	
	15106020	9000	技能2	斑馬兄弟(黑白金剛)	斑馬			Moba0046_06020.wav	
	15116020	9000	技能2	斑馬兄弟(黑白金剛)(冰)	斑馬			Moba0046_16020.wav	
	15126020	9000	技能2	斑馬兄弟(黑白金剛)(火)	斑馬			Moba0046_26020.wav	
	15206010	9000	技能1	斑馬兄弟(金剛合體)	斑馬			Mobb0082_06010.wav	
	15206020	9000	技能2	斑馬兄弟(金剛合體)	斑馬			Mobb0082_06020.wav	
	15216020	9000	技能2	斑馬兄弟(金剛合體)	斑馬			Mobb0082_16020.wav	
	15306010	9000	技能1	大象(勇象戰車)	大象			Moba0063_06010.wav	
	15306020	9000	技能2	大象(勇象戰車)	大象			Moba0063_06020.wav	
	15400011	9000	技能1	炭烤龍	特殊			Mobb0054_00011.wav	
	15406010	9000	技能1	炭烤龍	特殊			Mobb0054_06010.wav	
	15406020	9000	技能2	炭烤龍	特殊			Mobb0054_06020.wav	
	15506010	9000	技能1	玩具箱(蛇)	玩具箱			Moba037_06010.wav	
	15506020	9000	技能2	玩具箱(陷阱)	玩具箱			Moba037_06020.wav	
	15506030	9000	技能2	玩具箱(骷髏)	玩具箱			Moba037_06030.wav	
	15506040	9000	技能2	玩具箱(小丑)	玩具箱			Moba037_06040.wav	
	15506050	9000	技能2	玩具箱(拳頭)	玩具箱			Moba037_06050.wav	
	15606010	9000	技能1	青蛙	青蛙			Moba0096_6010.wav	
	15606020	9000	技能2	青蛙	青蛙			Moba0096_6020.wav	
	15606030	9000	技能3	青蛙	青蛙			Moba0096_6030.wav	
	15706010	9000	技能1	毒氣鼬	臭鼬			Moba0055_06010.wav	
	15706020	9000	技能2	毒氣鼬	臭鼬			Moba0055_06020.wav	
	15706030	9000	技能3	毒氣鼬	臭鼬			Moba0055_06030.wav	
	15806010	9000	技能1	鴕鳥	鴕鳥			Moba0040_06010.wav	
	15806020	9000	技能2	鴕鳥	鴕鳥			Moba0040_06020.wav	
	15906010	9000	技能1	熱狗大亨	雞			Moba0041_06010.wav	
	15906020	9000	技能2	熱狗大亨	雞			Moba0041_06020.wav	
	16000012	9000	技能1	鴕鳥(旋風斯巴達)	鴕鳥			Moba0092_00012.wav	
	16006010	9000	技能1	鴕鳥(旋風斯巴達)	鴕鳥			Moba0092_06010.wav	
	16006020	9000	技能2	鴕鳥(旋風斯巴達)	鴕鳥			Moba0092_06020.wav	
	16106010	9000	技能1	土撥鼠(法杖)	土撥鼠			Moba0095_06010.wav	
	16106020	9000	技能2	土撥鼠(法杖)	土撥鼠			Moba0095_06020.wav	
	16206010	9000	技能1	土撥鼠(鑽地)	土撥鼠			Moba0038_06010.wav	
	16206020	9000	技能2	土撥鼠(鑽地)	土撥鼠			Moba0038_06020.wav	
	16300011	9000	技能1	鴕鳥(槌)	鴕鳥			Moba0040e_00011.wav	
	16306010	9000	技能1	鴕鳥(槌)	鴕鳥			Moba0040e_06010.wav	
	16306020	9000	技能2	鴕鳥(槌)	鴕鳥			Moba0040e_06020.wav	
	16400012	9000	技能1	小貓(鞭炮貓)	小貓			Mobb0015_00012.wav	
	16406010	9000	技能1	小貓(鞭炮貓)	小貓			Mobb0015_06010.wav	
	16406020	9000	技能2	小貓(鞭炮貓)	小貓			Mobb0015_06020.wav	
	16500012	9000	技能1	小狗(米克斯)	小狗			Moba0005_00012.wav	
	16506010	9000	技能1	小狗(米克斯)	小狗			Moba0005_06010.wav	
	16506020	9000	技能2	小狗(米克斯)	小狗			Moba0005_06020.wav	
	16606010	9000	技能1	外星草	外星			Moba0061_06010.wav	
	16606020	9000	技能2	外星草	外星			Moba0061_06020.wav	
	16706010	9000	技能1	食人花	特殊			Mobb0010_06010.wav	
	16706020	9000	技能2	食人花	特殊			Mobb0010_06020.wav	
	16806010	9000	技能1	斑馬兄弟(蠍馬王)	斑馬			Mobb0074_06010.wav	
	16806020	9000	技能2	斑馬兄弟(蠍馬王)	斑馬			Mobb0074_06020.wav	
	16816020	9000	技能2	斑馬兄弟(蠍馬王)(火)	斑馬			Mobb0074_16020.wav	
	16826020	9000	技能2	斑馬兄弟(蠍馬王)(冰)	斑馬			Mobb0074_26020.wav	
	16906010	9000	技能1	駱駝(陣地)	駱駝			Moba0104_06010.wav	
	16906020	9000	技能2	駱駝(陣地)	駱駝			Moba0104_06020.wav	
	16906030	9000	技能3	駱駝(陣地)	駱駝			Moba0104_06030.wav	
	17006010	9000	技能1	外星船	外星			Moba0045_06010.wav	
	17006020	9000	技能2	外星船	外星			Moba0045_06020.wav	
	17106010	9000	技能1	外星人	外星			Moba0044_06010.wav	
	17106020	9000	技能2	外星人	外星			Moba0044_06020.wav	
	17206010	9000	技能1	斑馬兄弟(合體獸)	斑馬			Moba0102_06010.wav	
	17206020	9000	技能2	斑馬兄弟(合體獸)	斑馬			Moba0102_06020.wav	
	17300012	9000	技能1	機器人	特殊			Mobb9003_00012.wav	
	17306010	9000	技能1	機器人	特殊			Mobb9003_06010.wav	
	17306020	9000	技能2	機器人	特殊			Mobb9003_06020.wav	
	17406010	9000	技能1	熊(飛行)	熊			Moba0103_06010.wav	
	17406020	9000	技能2	熊(飛行)	熊			Moba0103_06020.wav	
	17500012	9000	技能1	章魚怪	特殊			Moba0117_00012.wav	
	17506010	9000	技能1	章魚怪	特殊			Moba0117_06010.wav	
	17506020	9000	技能2	章魚怪	特殊			Moba0117_06020.wav	
	17606010	9000	技能1	禁衛兵(刀砍)	人類			Moba9102_06010.wav	
	17606020	9000	技能2	禁衛兵(刀砍)	人類			Moba9102_06020.wav	
	17706010	9000	技能1	禁衛兵(弓箭)	人類			Moba9102a_06010.wav	
	17706020	9000	技能2	禁衛兵(弓箭)	人類			Moba9102a_06020.wav	
	17806010	9000	技能1	倒立人類	人類			Moba0071_06010.wav	
	17806020	9000	技能2	倒立人類	人類			Moba0071_06020.wav	
	17906010	9000	技能1	黑紫螫針	蠍子			Moba0072_06010.wav	
	17906020	9000	技能2	黑紫螫針	蠍子			Moba0072_06020.wav	
	18006010	9000	技能1	水藍螫針	蠍子			Moba0073_06010.wav	
	18006020	9000	技能2	水藍螫針	蠍子			Moba0073_06020.wav	
	18106010	9000	技能1	怪異枕頭	特殊			Moba0085_06010.wav	
	18106020	9000	技能2	怪異枕頭	特殊			Moba0085_06020.wav	
	18206010	9000	技能1	雪女	人類			NPC0004_06010.wav	
	18206020	9000	技能2	雪女	人類			NPC0004_06020.wav	
	18306010	9000	技能1	頑童(飛行)	頑童			Mobb0069c_06010.wav	
	18306020	9000	技能2	頑童(飛行)	頑童			Mobb0069c_06020.wav	
	18406010	9000	技能1	大象噴水	大象			Moba0032f_06010.wav	
	18406020	9000	技能2	大象噴水	大象			Moba0032f_06020.wav	
	18506010	9000	技能1	大象噴木樁	大象			Moba0032g_06010.wav	
	18606010	9000	技能1	大象噴炸彈	大象			Moba0032h_06010.wav	
	18706010	9000	技能1	大象噴西瓜	大象			Moba0032i_06010.wav	
	18806010	9000	技能1	大象重槌地面	大象			Moba0032j_06010.wav	
	18806020	9000	技能2	大象重槌地面	大象			Moba0032j_06020.wav	
	18906011	9000	技能1	紫尾蠍王	蠍子			Mobb0036b_06011.wav	
	19016010	9000	技能1	糧食站象軍長	大象			Moba0031g_16010.wav	
	19016020	9000	技能2	糧食站象軍長	大象			Moba0031g_16020.wav	
	19106010	9000	技能1	熊(大捕頭)	熊			Moba9003_06010.wav	
	19106020	9000	技能2	熊(大捕頭)	熊			Moba9003_06020.wav	
									
